true_utility,false_utility,complexity
1.241,8.095,0.6373333333333333
3.415,4.441,0.885
3.492,3.492,0.804
2.47,3.393,0.78
2.661,3.78,0.762
4.01,4.646,0.843
2.315,3.583,0.672
2.749,3.497,0.789
3.095,3.095,0.861
2.827,3.98,0.798
1.502,6.112,0.6266666666666667
1.624,1.624,0.5733333333333334
3.156,6.39,0.672
3.474,3.546,0.804
3.335,3.335,0.6453333333333333
3.319,4.56,0.825
2.904,5.847,0.804
1.972,5.219,0.915
3.499,3.721,0.798
2.879,2.879,0.6213333333333333
1.923,6.226,0.6426666666666667
2.905,2.905,0.6693333333333333
2.892,3.69,0.632
0.849,10.277,0.6453333333333333
2.64,5.236,0.801
3.57,4.206,0.777
3.817,4.966,0.6426666666666667
2.27,2.27,0.5973333333333334
3.287,3.287,0.771
2.247,5.882,0.774
2.347,2.9,0.801
1.873,1.873,0.6266666666666667
3.057,3.057,0.807
3.384,3.705,0.789
2.655,3.035,0.801
1.72,8.036,0.6453333333333333
2.632,4.214,0.6586666666666666
3.964,4.281,0.807
4.329,4.329,0.624
2.867,3.615,0.813
4.295,4.295,0.786
2.546,2.654,0.6213333333333333
1.892,6.211,0.798
2.949,5.234,0.768
3.706,3.706,0.798
3.327,3.327,0.64
3.494,3.981,0.6426666666666667
3.109,3.176,0.6586666666666666
0.434,9.759,0.6133333333333333
2.169,4.42,0.6186666666666667
3.157,3.21,0.762
3.222,3.3,0.768
3.854,3.854,0.834
2.707,3.094,0.6373333333333333
2.667,2.679,0.64
2.53,5.973,0.656
3.037,3.844,0.786
2.956,2.956,0.789
4.739,6.135,0.828
1.485,4.277,0.774
3.913,5.011,0.873
2.603,3.622,0.759
2.828,2.828,0.5786666666666667
3.436,3.436,0.6133333333333333
1.915,2.625,0.664
2.939,4.236,0.616
2.746,2.879,0.6373333333333333
2.139,4.025,0.849
3.801,3.899,0.6533333333333333
3.386,3.728,0.759
3.11,3.11,0.632
1.981,5.547,0.78
1.649,6.871,0.876
3.557,5.41,0.822
4.921,5.39,0.807
3.275,3.338,0.795
3.105,3.105,0.774
0.909,11.174,0.6426666666666667
1.406,3.489,0.592
3.248,3.278,0.774
1.19,7.944,0.786
3.353,4.841,0.858
4.637,4.962,0.891
4.383,4.547,0.855
3.306,3.306,0.774
3.533,3.533,0.616
1.172,7.997,0.813
3.222,3.309,0.6373333333333333
2.406,4.155,0.771
3.476,3.555,0.6453333333333333
3.356,3.356,0.762
3.449,3.471,0.786
3.847,3.966,0.771
1.539,3.887,0.6106666666666667
3.706,3.706,0.774
4.046,4.046,0.804
2.845,2.887,0.6293333333333333
2.666,6.357,0.867
3.593,3.593,0.6533333333333333
2.892,5.323,0.6213333333333333
3.569,4.988,0.759
1.525,6.292,0.6453333333333333
3.185,3.404,0.855
3.647,3.771,0.843
3.289,3.703,0.771
2.635,2.635,0.6506666666666666
2.635,2.635,0.6426666666666667
0.836,10.236,0.768
2.366,2.366,0.5973333333333334
2.361,2.361,0.6506666666666666
3.997,3.997,0.6266666666666667
3.102,3.102,0.78
2.907,2.907,0.807
3.042,3.042,0.648
2.913,2.913,0.5813333333333334
2.605,2.605,0.801
3.956,3.956,0.78
3.072,3.072,0.6586666666666666
1.912,6.554,0.768
2.986,2.986,0.6373333333333333
1.106,8.713,0.786
3.567,3.567,0.855
1.384,7.004,0.6533333333333333
3.724,3.724,0.774
3.203,3.284,0.768
3.66,3.66,0.6693333333333333
3.207,3.351,0.765
3.404,4.011,0.873
3.552,3.628,0.6533333333333333
2.158,5.212,0.84
3.619,4.81,0.777
2.272,6.323,0.837
1.649,5.758,0.6293333333333333
2.28,2.28,0.6506666666666666
3.431,3.431,0.885
2.166,2.166,0.6346666666666667
3.97,3.988,0.783
4.186,4.34,0.795
2.36,5.795,0.664
4.387,4.387,0.6613333333333333
2.197,5.633,0.774
1.194,8.276,0.765
3.126,3.126,0.783
3.448,3.504,0.807
3.792,3.83,0.864
3.103,3.103,0.6
3.693,3.701,0.664
1.907,3.74,0.6693333333333333
2.48,2.48,0.6506666666666666
2.822,2.822,0.783
1.288,8.21,0.656
3.892,4.063,0.828
3.555,4.119,0.879
2.259,4.314,0.6053333333333333
4.44,4.549,0.804
3.427,3.78,0.6666666666666666
1.72,6.918,0.6346666666666667
2.39,3.566,0.777
3.09,6.799,0.6586666666666666
3.622,3.732,0.6346666666666667
3.634,4.248,0.879
3.597,3.874,0.768
3.451,4.521,0.819
3.305,3.305,0.807
2.487,4.976,0.759
3.867,4.088,0.837
3.252,3.318,0.819
3.857,3.857,0.867
3.22,3.22,0.64
0.991,9.304,0.6426666666666667
2.731,2.731,0.783
1.392,6.994,0.804
3.378,4.255,0.795
1.881,9.086,0.6453333333333333
2.696,2.696,0.6453333333333333
2.308,2.687,0.5733333333333334
2.277,2.277,0.774
3.001,3.001,0.6026666666666667
2.231,5.142,0.816
4.23,4.23,0.819
3.158,3.328,0.6586666666666666
3.428,6.023,0.819
2.085,2.085,0.6453333333333333
2.711,2.741,0.6453333333333333
2.904,4.101,0.783
2.527,3.513,0.786
2.649,2.649,0.6613333333333333
3.146,3.171,0.855
2.648,7.284,0.816
2.504,2.504,0.6453333333333333
2.867,3.155,0.64
3.509,3.509,0.789
3.939,3.939,0.672
3.41,3.71,0.873
3.639,3.659,0.777
3.699,3.909,0.6613333333333333
4.574,5.279,0.765
1.511,10.065,0.804
2.606,2.606,0.672
3.319,3.319,0.616
1.224,9.789,0.6533333333333333
3.524,3.554,0.849
2.937,3.096,0.6293333333333333
3.041,5.606,0.846
3.494,3.494,0.777
3.688,5.186,0.774
4.157,4.157,0.64
2.183,2.183,0.6346666666666667
3.715,3.715,0.78
3.96,3.96,0.6533333333333333
3.548,3.548,0.608
3.093,3.093,0.807
3.801,3.801,0.774
3.424,3.424,0.855
3.049,3.049,0.855
2.819,2.819,0.6026666666666667
3.517,3.517,0.81
3.106,3.106,0.648
1.19,6.911,0.777
3.015,3.015,0.616
3.648,3.922,0.843
2.334,6.254,0.616
1.936,2.308,0.6533333333333333
2.572,5.419,0.801
4.039,4.039,0.882
1.152,7.951,0.6
2.652,2.652,0.6346666666666667
3.525,3.921,0.81
3.513,3.574,0.792
4.263,4.377,0.894
3.786,5.778,0.9
2.861,2.861,0.783
3.816,3.816,0.783
2.439,2.439,0.664
2.841,2.841,0.789
3.391,3.391,0.672
3.681,3.681,0.64
3.543,3.543,0.819
3.143,3.143,0.813
1.086,7.985,0.672
4.612,4.612,0.6026666666666667
2.336,2.336,0.632
2.427,2.681,0.656
4.542,4.623,0.777
3.171,3.354,0.792
3.052,3.543,0.864
3.501,3.501,0.6293333333333333
4.19,4.259,0.64
1.613,8.433,0.828
3.656,3.703,0.6613333333333333
3.072,3.072,0.798
3.36,3.36,0.867
3.736,4.783,0.786
4.151,4.258,0.855
2.653,2.883,0.6693333333333333
4.07,4.155,0.834
2.938,2.938,0.813
4.153,4.241,0.765
3.443,3.956,0.648
2.105,6.073,0.672
3.353,3.353,0.624
2.947,2.947,0.813
1.482,3.791,0.6693333333333333
4.102,4.271,0.6693333333333333
3.275,3.327,0.768
3.721,3.721,0.762
3.31,4.179,0.783
3.296,3.296,0.6506666666666666
2.738,2.738,0.6426666666666667
3.8,3.8,0.624
2.854,3.507,0.768
1.541,8.563,0.84
3.167,6.931,0.789
4.002,5.22,0.885
2.984,4.965,0.774
3.149,3.149,0.861
2.74,2.74,0.762
4.963,5.272,0.6266666666666667
2.974,2.974,0.616
1.987,3.056,0.84
2.743,2.84,0.5893333333333334
3.47,3.611,0.6026666666666667
3.511,4.343,0.6666666666666666
3.117,3.588,0.828
2.302,2.302,0.64
2.579,3.12,0.672
3.736,3.963,0.771
2.014,2.806,0.672
1.468,5.523,0.648
4.04,4.04,0.837
1.977,4.577,0.6453333333333333
2.632,3.042,0.6533333333333333
3.129,3.471,0.882
4.661,5.237,0.849
3.488,5.598,0.858
1.151,10.363,0.632
2.758,2.758,0.774
3.839,3.855,0.801
4.338,4.338,0.84
1.381,6.395,0.592
3.054,3.054,0.6293333333333333
3.244,3.611,0.795
3.142,3.142,0.5733333333333334
2.933,2.933,0.819
3.515,3.515,0.6506666666666666
2.377,6.005,0.6666666666666666
1.699,6.392,0.6266666666666667
2.452,2.452,0.777
3.16,4.415,0.777
2.383,3.116,0.759
3.701,3.74,0.861
0.537,8.593,0.804
2.429,2.429,0.6666666666666666
2.423,2.423,0.6266666666666667
3.584,4.023,0.801
4.307,4.797,0.861
2.827,2.827,0.6213333333333333
3.67,3.67,0.831
2.738,6.788,0.783
3.007,3.007,0.864
3.305,3.305,0.56
3.647,4.138,0.855
1.551,9.206,0.6666666666666666
3.141,3.471,0.852
4.111,5.05,0.798
3.369,3.369,0.819
2.441,5.114,0.6666666666666666
2.517,2.959,0.759
3.237,3.237,0.816
3.98,3.989,0.792
0.786,8.934,0.6666666666666666
2.682,3.126,0.771
1.583,7.526,0.6586666666666666
2.695,2.976,0.777
2.837,2.837,0.777
3.029,4.205,0.813
2.683,2.683,0.768
3.444,3.444,0.867
2.857,2.857,0.664
2.219,2.219,0.837
2.66,2.66,0.804
