true_utility,false_utility,complexity
4.17,4.17,0.792
3.361,3.41,0.765
2.787,2.787,0.6373333333333333
4.415,4.415,0.78
4.466,4.466,0.6266666666666667
2.733,3.364,0.6506666666666666
2.891,3.022,0.825
2.542,2.542,0.6213333333333333
0.743,8.801,0.804
0.888,8.948,0.6026666666666667
1.543,3.691,0.5733333333333334
2.45,2.45,0.6293333333333333
4.119,4.22,0.801
1.738,8.298,0.6666666666666666
3.945,4.318,0.849
0.822,10.573,0.765
1.559,4.377,0.656
2.869,2.869,0.6506666666666666
1.968,7.702,0.81
3.31,3.536,0.828
4.042,4.042,0.6426666666666667
2.425,2.425,0.762
2.409,3.972,0.6373333333333333
2.685,4.118,0.801
1.511,5.058,0.616
2.251,4.61,0.927
2.613,2.677,0.783
3.6,3.6,0.819
2.732,3.782,0.762
3.669,3.749,0.822
4.253,5.906,0.825
4.409,5.619,0.909
3.1,3.153,0.813
1.259,6.806,0.762
3.641,4.108,0.648
2.636,2.636,0.6426666666666667
2.842,2.842,0.807
1.949,2.978,0.648
3.264,4.933,0.64
4.144,4.667,0.834
3.956,3.956,0.608
3.805,3.805,0.831
2.371,6.951,0.664
3.057,3.057,0.608
3.337,3.337,0.786
4.077,4.243,0.807
4.165,4.243,0.864
4.089,5.479,0.825
3.091,3.091,0.6586666666666666
1.538,3.208,0.798
2.226,2.226,0.6186666666666667
3.034,3.034,0.792
3.373,5.326,0.6186666666666667
3.624,3.778,0.837
2.71,3.231,0.6053333333333333
3.057,3.057,0.783
3.356,3.356,0.664
4.029,4.552,0.798
3.15,3.292,0.6453333333333333
2.718,2.718,0.6026666666666667
3.992,3.992,0.762
3.045,3.469,0.813
3.026,5.048,0.834
3.048,3.048,0.777
3.009,3.039,0.648
3.89,3.953,0.816
2.044,2.266,0.768
2.856,2.856,0.664
2.384,2.384,0.64
2.933,2.943,0.783
2.559,2.825,0.6293333333333333
1.216,9.08,0.852
4.348,4.583,0.6266666666666667
4.346,4.756,0.891
4.132,4.146,0.831
3.298,3.372,0.6586666666666666
3.373,5.786,0.876
2.042,2.549,0.6693333333333333
4.549,4.933,0.762
2.148,3.643,0.768
3.31,3.31,0.765
3.184,3.204,0.807
3.806,4.318,0.759
2.921,2.93,0.664
4.745,4.745,0.6693333333333333
2.249,2.249,0.777
3.424,3.424,0.789
2.95,3.105,0.656
4.214,4.214,0.6666666666666666
0.882,7.277,0.6133333333333333
3.599,3.599,0.879
0.976,8.657,0.664
2.37,3.319,0.783
2.805,4.223,0.834
2.327,2.327,0.592
3.898,4.379,0.648
3.459,3.466,0.825
3.054,3.108,0.6453333333333333
2.599,2.722,0.777
2.71,3.818,0.813
2.206,5.469,0.6533333333333333
2.673,2.673,0.6106666666666667
3.439,3.439,0.6533333333333333
3.058,4.329,0.786
3.742,3.742,0.624
3.291,3.291,0.798
2.834,2.834,0.78
2.685,4.641,0.632
3.063,3.112,0.771
2.811,2.811,0.6053333333333333
3.453,3.453,0.6453333333333333
3.262,3.262,0.807
2.442,6.448,0.6373333333333333
3.515,3.515,0.6666666666666666
1.642,4.558,0.801
3.702,3.702,0.762
2.401,2.401,0.6186666666666667
2.612,4.156,0.765
3.772,3.772,0.656
2.229,3.822,0.804
2.958,3.117,0.873
3.232,3.449,0.852
2.957,3.193,0.648
2.036,4.305,0.765
2.965,2.965,0.759
1.742,8.744,0.843
3.343,4.673,0.834
2.1,2.1,0.6586666666666666
4.304,4.313,0.804
3.336,3.569,0.6373333333333333
2.765,3.038,0.6693333333333333
3.918,3.918,0.825
2.545,2.567,0.6533333333333333
2.994,2.994,0.6693333333333333
3.165,3.165,0.624
3.522,3.54,0.6586666666666666
2.851,2.851,0.813
2.492,5.904,0.807
3.43,4.269,0.6613333333333333
3.342,5.276,0.867
2.055,2.055,0.804
2.742,2.863,0.6186666666666667
3.798,4.235,0.789
2.664,2.664,0.6453333333333333
2.818,3.63,0.771
1.405,6.774,0.5786666666666667
1.496,4.473,0.783
3.814,3.814,0.777
3.267,3.267,0.6293333333333333
2.695,3.567,0.6666666666666666
1.572,4.842,0.664
1.948,5.753,0.855
3.233,4.789,0.813
3.17,3.335,0.798
2.976,2.976,0.6613333333333333
2.587,3.332,0.759
4.187,4.523,0.852
1.281,4.355,0.6693333333333333
2.711,2.977,0.6693333333333333
1.362,8.416,0.6693333333333333
3.113,3.113,0.6613333333333333
2.544,2.821,0.765
0.488,11.644,0.576
1.618,8.539,0.765
1.777,7.753,0.795
3.667,3.784,0.783
3.187,3.407,0.798
3.404,3.404,0.6613333333333333
3.397,4.174,0.656
2.666,4.801,0.795
3.298,3.298,0.771
3.926,3.926,0.789
4.305,4.312,0.882
3.637,3.637,0.765
1.769,1.873,0.6053333333333333
2.23,2.23,0.768
2.854,3.302,0.6
2.202,4.321,0.885
3.073,3.287,0.78
2.669,2.669,0.78
0.769,10.298,0.819
3.586,3.586,0.837
3.267,3.64,0.807
1.903,2.269,0.672
3.427,3.427,0.777
2.651,2.651,0.64
3.097,3.516,0.825
3.201,3.201,0.768
4.605,4.605,0.861
1.895,5.168,0.632
2.393,6.857,0.6133333333333333
3.228,3.228,0.64
3.664,4.543,0.624
4.468,4.475,0.798
3.053,5.518,0.828
2.902,2.913,0.822
2.99,2.99,0.6133333333333333
2.475,2.475,0.664
2.535,4.682,0.843
3.706,3.717,0.6133333333333333
1.297,8.113,0.656
2.221,2.221,0.64
2.588,6.695,0.84
2.145,2.145,0.5893333333333334
3.635,3.885,0.777
3.177,3.177,0.664
3.69,3.69,0.6453333333333333
3.128,3.128,0.648
3.226,3.226,0.632
2.861,2.894,0.816
1.22,5.135,0.6346666666666667
3.644,4.885,0.84
2.56,2.56,0.616
3.366,3.366,0.87
2.814,4.968,0.825
1.433,6.846,0.819
3.946,3.946,0.608
2.95,2.95,0.608
1.34,6.202,0.5893333333333334
2.825,2.825,0.64
3.503,3.526,0.6
4.277,4.483,0.843
3.053,3.053,0.87
0.699,11.517,0.648
3.678,3.817,0.6133333333333333
3.549,3.559,0.789
2.657,2.657,0.592
4.5,4.541,0.6533333333333333
1.575,6.619,0.813
2.308,2.308,0.5946666666666667
2.396,6.185,0.762
2.943,2.943,0.771
0.876,11.789,0.6693333333333333
1.096,9.406,0.672
1.615,9.543,0.84
2.177,3.859,0.6373333333333333
2.764,2.764,0.648
3.58,3.683,0.783
3.679,3.89,0.768
2.952,2.952,0.792
2.271,2.51,0.6293333333333333
2.227,4.03,0.831
2.673,2.673,0.804
2.713,3.321,0.831
3.246,3.246,0.6586666666666666
3.377,5.886,0.861
2.363,2.363,0.6666666666666666
2.262,5.868,0.656
2.483,3.121,0.942
3.222,3.222,0.632
2.229,3.722,0.762
2.649,2.95,0.592
2.489,2.489,0.6533333333333333
3.844,3.901,0.837
2.826,2.826,0.664
2.975,3.014,0.801
2.271,2.271,0.6133333333333333
4.352,4.452,0.837
3.623,3.714,0.807
3.752,3.752,0.624
3.104,3.114,0.6613333333333333
1.931,6.2,0.807
2.968,2.968,0.6293333333333333
2.859,2.859,0.765
4.496,4.496,0.64
2.87,2.87,0.648
2.639,2.639,0.64
0.941,10.007,0.6586666666666666
2.844,2.844,0.762
3.425,3.425,0.765
2.355,2.355,0.616
1.438,6.852,0.6533333333333333
4.48,4.49,0.6373333333333333
3.655,3.655,0.584
2.765,2.795,0.6613333333333333
1.877,6.416,0.6453333333333333
3.113,4.666,0.876
3.709,4.371,0.807
3.585,3.887,0.798
2.187,2.187,0.5866666666666667
4.479,4.531,0.873
3.337,3.337,0.852
2.272,2.329,0.624
2.135,5.708,0.882
4.89,5.241,0.6453333333333333
0.406,5.998,0.608
2.368,3.297,0.786
2.809,2.83,0.81
1.236,9.514,0.777
3.52,3.552,0.819
3.56,3.56,0.864
3.629,3.629,0.816
3.61,3.683,0.795
3.729,3.817,0.873
2.83,2.83,0.6346666666666667
3.158,3.158,0.632
4.196,4.196,0.6453333333333333
2.3,2.397,0.795
2.518,2.576,0.6186666666666667
3.525,3.808,0.78
3.472,3.472,0.6613333333333333
3.887,4.865,0.837
2.978,2.978,0.6586666666666666
3.077,3.077,0.5573333333333333
1.688,4.066,0.672
1.957,1.957,0.6213333333333333
2.628,2.628,0.6213333333333333
2.518,6.087,0.825
1.23,8.765,0.608
2.809,4.262,0.78
3.221,3.221,0.616
2.725,6.007,0.828
3.32,3.32,0.801
1.051,7.174,0.765
2.355,4.661,0.801
2.759,2.759,0.648
2.754,2.812,0.771
2.026,2.026,0.795
2.16,4.897,0.608
3.179,3.367,0.834
2.411,2.411,0.6426666666666667
2.101,2.141,0.6506666666666666
3.107,4.118,0.798
2.486,2.486,0.6293333333333333
2.922,2.922,0.849
3.504,3.504,0.6666666666666666
3.455,3.455,0.771
3.318,3.377,0.783
0.276,11.458,0.6373333333333333
3.298,5.006,0.783
2.894,3.111,0.6026666666666667
1.319,5.051,0.6586666666666666
2.078,5.653,0.855
0.94,9.556,0.855
3.27,3.27,0.6293333333333333
3.253,3.253,0.762
3.364,4.675,0.858
3.297,3.305,0.6426666666666667
2.6,2.6,0.762
2.394,2.855,0.648
4.134,4.134,0.795
4.098,4.129,0.672
2.926,2.926,0.882
2.536,2.536,0.783
2.987,3.767,0.774
3.208,3.208,0.768
2.872,2.905,0.759
3.891,4.297,0.768
3.302,3.558,0.798
4.479,4.479,0.888
3.602,6.28,0.6213333333333333
3.462,3.462,0.6613333333333333
3.11,3.11,0.6506666666666666
3.016,4.173,0.777
2.69,3.196,0.909
2.748,2.924,0.807
4.128,4.305,0.6666666666666666
2.792,2.792,0.804
3.412,4.052,0.816
3.416,3.452,0.759
2.87,2.87,0.831
3.878,3.944,0.762
2.157,6.898,0.762
2.576,2.576,0.6186666666666667
1.265,8.305,0.777
3.674,3.868,0.813
1.025,7.395,0.6133333333333333
4.205,4.326,0.804
3.732,4.475,0.822
1.831,1.831,0.64
3.54,3.54,0.616
1.669,4.091,0.616
2.869,2.869,0.6266666666666667
1.139,9.272,0.6293333333333333
2.726,2.726,0.616
2.457,2.457,0.6
2.705,4.985,0.795
2.481,2.481,0.783
3.991,3.991,0.789
3.327,3.327,0.795
3.143,6.239,0.855
3.448,3.448,0.771
3.045,3.227,0.777
4.48,4.48,0.762
2.698,2.698,0.762
2.177,2.616,0.6666666666666666
2.771,2.771,0.819
3.952,4.336,0.777
3.496,3.496,0.6133333333333333
3.764,3.764,0.843
1.491,7.711,0.664
3.258,3.538,0.78
2.803,2.803,0.81
3.906,3.906,0.6666666666666666
2.265,2.265,0.6666666666666666
1.134,3.842,0.6106666666666667
2.819,4.572,0.864
3.608,3.608,0.84
3.872,3.872,0.819
3.458,3.494,0.765
2.26,2.396,0.6693333333333333
2.049,5.024,0.6106666666666667
2.402,2.402,0.672
1.648,4.791,0.592
2.753,4.081,0.6666666666666666
2.484,2.484,0.759
2.808,2.973,0.6666666666666666
3.622,3.667,0.771
2.962,2.962,0.801
3.838,3.838,0.664
4.28,4.344,0.843
3.238,3.238,0.783
2.787,2.835,0.672
0.485,8.55,0.6133333333333333
2.867,3.129,0.825
2.039,2.039,0.6026666666666667
3.452,3.452,0.819
3.865,4.707,0.656
2.036,9.019,0.6693333333333333
3.421,3.769,0.6533333333333333
1.657,4.969,0.624
1.706,5.67,0.6373333333333333
2.779,2.86,0.783
3.519,3.519,0.831
2.583,2.583,0.6373333333333333
3.485,5.119,0.632
3.339,3.339,0.5973333333333334
2.559,2.823,0.6186666666666667
2.795,2.916,0.777
3.133,3.133,0.81
2.395,2.395,0.6266666666666667
3.549,4.495,0.656
1.151,8.502,0.804
2.099,5.424,0.81
3.978,3.978,0.834
1.673,5.209,0.608
1.457,5.956,0.6586666666666666
1.825,9.072,0.6453333333333333
2.977,2.977,0.6453333333333333
1.761,1.926,0.608
3.946,4.122,0.831
3.115,3.126,0.768
2.322,2.333,0.6293333333333333
2.576,2.576,0.828
2.6,2.768,0.786
2.715,2.715,0.648
3.318,3.318,0.78
2.66,2.66,0.592
3.378,3.459,0.78
3.204,3.204,0.6533333333333333
3.572,4.305,0.9
3.19,3.296,0.6426666666666667
2.852,2.852,0.876
3.395,3.527,0.656
0.949,5.907,0.6373333333333333
3.352,5.128,0.858
2.862,2.862,0.6266666666666667
2.26,2.26,0.6693333333333333
2.552,2.552,0.789
4.108,4.458,0.828
3.486,4.0,0.6666666666666666
3.475,3.852,0.801
3.615,3.84,0.6453333333333333
2.799,2.799,0.6693333333333333
1.947,3.671,0.608
2.331,2.331,0.5946666666666667
3.082,3.45,0.78
2.795,4.018,0.807
4.889,4.941,0.6506666666666666
3.526,3.592,0.765
4.167,4.223,0.774
3.721,4.154,0.843
2.863,2.863,0.789
3.549,4.052,0.6693333333333333
3.206,3.206,0.888
2.903,2.913,0.768
3.338,5.413,0.759
2.43,2.597,0.798
2.756,2.756,0.759
2.257,2.257,0.576
2.253,2.253,0.768
2.987,3.143,0.786
1.667,7.094,0.6613333333333333
2.951,2.951,0.849
3.29,3.31,0.81
2.322,2.841,0.837
2.669,2.669,0.664
3.492,5.532,0.855
4.155,4.155,0.834
1.742,7.569,0.777
3.736,4.295,0.786
1.948,7.209,0.807
2.982,3.07,0.6693333333333333
4.093,4.437,0.903
1.822,5.68,0.81
3.807,3.807,0.6693333333333333
3.95,3.95,0.6346666666666667
5.421,6.009,0.828
2.939,2.972,0.664
2.638,2.638,0.6533333333333333
2.089,2.379,0.852
2.533,3.699,0.672
3.005,3.027,0.789
3.44,4.5,0.822
3.863,3.872,0.6106666666666667
2.531,2.531,0.6693333333333333
2.981,2.981,0.828
2.2,5.961,0.672
1.613,6.109,0.6426666666666667
3.43,3.43,0.81
3.28,3.28,0.6533333333333333
2.885,3.586,0.801
3.281,3.281,0.568
3.787,3.787,0.84
2.303,2.303,0.807
3.362,3.381,0.831
3.57,3.708,0.876
3.604,3.604,0.6373333333333333
2.772,2.772,0.6053333333333333
2.708,6.039,0.87
2.687,2.687,0.656
3.48,3.48,0.6133333333333333
1.435,8.38,0.78
3.004,5.012,0.888
3.409,3.409,0.6266666666666667
0.513,9.984,0.624
1.963,5.095,0.664
3.188,3.188,0.81
3.55,3.55,0.672
1.939,7.779,0.816
3.405,3.405,0.81
3.229,3.229,0.774
3.53,3.53,0.828
2.23,5.825,0.78
2.544,2.544,0.789
2.45,2.566,0.592
2.99,2.997,0.5893333333333334
2.468,4.076,0.759
1.7,6.008,0.5973333333333334
2.255,2.278,0.6426666666666667
2.711,2.711,0.6533333333333333
1.85,2.347,0.771
2.522,2.979,0.6613333333333333
2.636,2.636,0.616
2.924,2.924,0.768
4.451,4.834,0.843
3.621,3.621,0.6373333333333333
3.653,3.682,0.6426666666666667
1.811,7.82,0.6293333333333333
2.027,5.021,0.789
3.439,3.58,0.656
2.961,3.376,0.807
2.612,2.677,0.6106666666666667
4.469,4.878,0.813
1.109,11.364,0.648
1.386,8.862,0.64
2.54,5.118,0.6426666666666667
2.066,7.531,0.6586666666666666
4.509,4.516,0.87
2.165,4.573,0.6666666666666666
2.449,2.583,0.6506666666666666
2.503,2.503,0.6213333333333333
2.946,2.946,0.608
0.507,11.389,0.5493333333333333
2.972,6.334,0.912
2.575,4.611,0.9
3.154,3.154,0.777
2.521,2.521,0.6373333333333333
2.914,4.213,0.6373333333333333
2.614,2.614,0.664
3.166,4.575,0.849
3.091,3.184,0.792
3.27,3.505,0.6133333333333333
3.23,3.311,0.6586666666666666
3.494,4.736,0.864
2.499,2.675,0.6453333333333333
2.941,3.776,0.6586666666666666
0.988,9.534,0.6533333333333333
2.312,4.657,0.762
1.302,7.195,0.783
4.635,4.728,0.831
4.243,4.243,0.792
2.312,2.377,0.624
1.88,7.9,0.828
3.621,3.621,0.672
3.342,3.342,0.6186666666666667
2.85,2.85,0.6293333333333333
3.626,3.626,0.873
3.239,4.612,0.771
2.486,2.531,0.6186666666666667
3.01,3.032,0.632
3.996,3.996,0.656
3.072,3.072,0.807
2.334,2.334,0.6053333333333333
4.013,4.013,0.84
3.462,3.462,0.592
2.509,2.509,0.6533333333333333
2.407,3.012,0.6133333333333333
3.079,3.079,0.5786666666666667
3.369,3.43,0.837
4.218,4.291,0.831
2.446,2.446,0.5893333333333334
3.921,3.921,0.807
4.707,4.85,0.858
3.563,3.563,0.798
3.116,3.116,0.864
3.162,5.766,0.6133333333333333
3.401,3.661,0.5813333333333334
3.507,3.517,0.5893333333333334
3.125,3.451,0.608
4.342,4.342,0.6613333333333333
3.938,4.015,0.6666666666666666
2.199,2.244,0.608
3.325,3.325,0.6213333333333333
2.817,2.817,0.813
1.117,10.592,0.624
2.802,3.536,0.852
2.713,2.713,0.6693333333333333
2.918,2.918,0.774
1.704,9.819,0.6506666666666666
3.254,3.264,0.762
0.565,8.364,0.5546666666666666
2.704,2.704,0.64
4.018,4.018,0.798
3.207,4.164,0.846
2.591,5.401,0.771
3.342,3.342,0.837
2.719,2.719,0.837
4.001,4.001,0.664
2.455,5.079,0.801
2.772,2.772,0.777
3.141,3.141,0.864
2.586,7.28,0.6346666666666667
3.638,3.638,0.816
3.992,4.409,0.828
2.879,3.068,0.6186666666666667
3.284,3.284,0.822
2.511,2.591,0.624
1.899,1.899,0.6533333333333333
4.147,4.147,0.819
3.937,3.97,0.6293333333333333
2.179,3.521,0.5893333333333334
3.285,4.757,0.813
3.653,4.453,0.888
1.756,8.903,0.813
2.574,3.542,0.774
2.288,2.288,0.777
1.217,7.604,0.759
3.915,4.05,0.843
3.856,3.856,0.6453333333333333
2.905,4.123,0.6346666666666667
2.976,2.976,0.592
3.14,3.25,0.819
2.046,6.793,0.786
2.905,3.049,0.6586666666666666
3.228,3.25,0.792
1.703,5.26,0.825
3.049,3.352,0.822
2.145,2.793,0.64
2.904,3.033,0.837
0.6,8.338,0.6453333333333333
1.977,5.818,0.762
3.719,3.719,0.6533333333333333
3.31,3.418,0.864
2.225,6.468,0.783
2.959,2.992,0.64
3.204,3.204,0.768
3.024,3.359,0.825
2.537,3.257,0.64
3.193,4.482,0.855
1.854,2.521,0.816
1.486,5.231,0.6
2.811,2.811,0.78
2.726,2.902,0.6266666666666667
2.323,4.052,0.6053333333333333
2.601,2.633,0.608
2.57,2.57,0.656
2.31,2.78,0.801
2.395,2.395,0.6293333333333333
4.091,4.091,0.801
4.023,4.669,0.6586666666666666
2.592,2.592,0.664
3.246,4.432,0.795
2.836,2.836,0.6266666666666667
3.104,4.092,0.792
3.164,3.594,0.6533333333333333
2.841,2.841,0.6053333333333333
3.197,3.732,0.777
2.486,2.486,0.816
1.163,8.412,0.6613333333333333
2.462,4.146,0.6506666666666666
4.164,4.164,0.5866666666666667
3.753,3.753,0.6373333333333333
3.39,3.39,0.6506666666666666
2.68,2.68,0.834
3.037,3.037,0.759
3.889,4.069,0.768
2.075,2.075,0.648
2.785,2.785,0.798
4.792,4.792,0.795
3.759,3.842,0.828
2.341,2.341,0.568
3.379,3.379,0.6186666666666667
2.856,2.856,0.795
3.223,4.534,0.6373333333333333
2.384,4.36,0.798
4.09,4.09,0.624
2.53,2.53,0.774
1.665,8.217,0.64
1.596,5.112,0.777
2.336,4.112,0.624
3.309,3.309,0.801
2.718,2.718,0.6613333333333333
3.441,3.467,0.84
2.655,2.655,0.664
1.507,2.014,0.6026666666666667
3.49,3.49,0.813
2.855,2.855,0.64
3.022,3.022,0.6346666666666667
4.503,4.503,0.6666666666666666
3.173,4.943,0.843
1.773,5.66,0.576
0.935,9.77,0.6613333333333333
2.967,3.063,0.831
2.364,6.97,0.762
1.631,5.393,0.882
2.243,5.874,0.858
2.677,2.677,0.816
4.356,4.716,0.6666666666666666
3.396,4.466,0.804
2.863,2.863,0.816
2.519,6.721,0.768
1.943,1.943,0.768
2.243,2.297,0.774
3.141,3.774,0.798
0.827,10.322,0.64
0.998,8.978,0.624
2.398,2.991,0.807
1.907,8.398,0.807
2.742,2.742,0.861
3.184,3.184,0.897
1.759,1.839,0.786
1.986,7.256,0.759
4.044,4.044,0.648
2.593,4.846,0.819
2.225,2.492,0.6266666666666667
1.903,3.299,0.762
1.874,3.554,0.867
3.385,3.53,0.78
2.218,2.218,0.6506666666666666
0.808,5.953,0.792
2.746,3.371,0.885
2.977,2.977,0.64
2.684,2.707,0.786
2.94,2.95,0.792
3.092,3.092,0.801
2.233,6.566,0.834
1.975,5.912,0.6453333333333333
3.074,3.074,0.656
2.572,2.572,0.6533333333333333
3.668,4.016,0.771
3.251,3.251,0.819
2.916,2.916,0.78
2.341,2.341,0.843
2.94,3.755,0.801
4.323,5.126,0.6213333333333333
2.867,2.98,0.6133333333333333
2.883,4.973,0.5733333333333334
3.895,5.126,0.852
2.661,2.816,0.6453333333333333
2.135,2.256,0.664
4.167,4.378,0.795
4.071,4.089,0.765
3.181,3.24,0.822
2.764,2.764,0.786
3.283,3.635,0.6453333333333333
0.295,12.009,0.592
3.625,3.625,0.6426666666666667
3.198,3.198,0.64
2.274,2.274,0.759
3.375,3.397,0.78
2.763,3.059,0.819
3.703,3.703,0.64
1.01,8.585,0.6533333333333333
3.077,3.706,0.834
3.301,3.301,0.819
3.213,3.213,0.762
2.887,3.252,0.762
1.706,5.558,0.768
2.755,2.775,0.798
2.577,2.731,0.864
2.021,6.978,0.819
2.878,2.878,0.822
2.508,3.247,0.6346666666666667
3.55,3.824,0.759
2.88,2.88,0.6
2.303,2.37,0.6026666666666667
3.795,3.842,0.804
2.964,2.964,0.656
2.503,3.071,0.852
3.71,3.71,0.825
2.57,2.57,0.819
3.445,3.445,0.798
3.868,3.888,0.867
2.101,2.101,0.592
2.793,3.023,0.801
3.047,5.425,0.792
3.788,3.788,0.774
3.072,3.072,0.837
3.869,3.949,0.783
2.578,2.621,0.6533333333333333
3.267,5.712,0.831
2.825,2.825,0.6266666666666667
3.743,3.743,0.6266666666666667
2.794,3.185,0.834
2.026,3.084,0.6186666666666667
3.458,3.488,0.897
2.06,2.779,0.608
3.095,3.773,0.6373333333333333
4.905,5.009,0.828
3.102,3.102,0.656
3.168,3.331,0.762
2.381,2.381,0.78
2.572,4.073,0.816
2.32,2.32,0.664
2.386,2.386,0.632
2.894,2.894,0.801
3.682,3.703,0.843
2.596,2.988,0.656
3.164,3.491,0.768
1.723,8.157,0.852
2.035,2.169,0.6346666666666667
2.026,2.196,0.816
3.17,3.197,0.64
4.296,4.358,0.81
2.586,2.665,0.6533333333333333
2.704,2.704,0.807
2.411,2.411,0.81
3.709,3.878,0.846
3.038,3.158,0.783
2.162,2.162,0.616
2.971,5.408,0.672
2.567,2.567,0.64
3.393,3.393,0.789
2.291,2.291,0.6613333333333333
0.92,9.607,0.789
3.184,3.309,0.825
2.024,2.024,0.656
4.197,4.197,0.804
2.466,2.525,0.81
4.199,4.199,0.807
4.142,4.614,0.825
2.582,3.792,0.801
3.733,3.733,0.6213333333333333
3.752,3.752,0.816
3.707,3.74,0.771
2.123,2.123,0.648
1.207,8.182,0.6586666666666666
2.972,3.064,0.624
3.869,3.943,0.783
4.69,4.69,0.759
3.369,3.954,0.858
2.746,2.823,0.783
4.717,5.103,0.816
3.471,3.537,0.81
3.494,3.494,0.608
4.194,4.232,0.771
1.919,5.411,0.807
2.588,3.201,0.774
2.959,2.959,0.6373333333333333
4.108,4.127,0.843
3.031,3.207,0.648
2.18,6.133,0.771
3.349,3.349,0.6506666666666666
0.938,9.554,0.801
3.286,3.694,0.6506666666666666
2.285,2.295,0.6106666666666667
4.025,4.025,0.5626666666666666
3.7,3.7,0.837
1.613,3.151,0.6426666666666667
2.077,2.146,0.648
1.015,10.884,0.822
1.938,4.61,0.6213333333333333
2.474,2.741,0.672
3.14,3.17,0.6186666666666667
2.59,2.851,0.777
2.867,4.114,0.846
4.204,4.204,0.6186666666666667
3.183,3.183,0.592
2.09,2.365,0.759
2.324,2.701,0.632
2.814,2.814,0.762
1.833,7.066,0.632
3.22,3.22,0.759
2.089,4.193,0.6053333333333333
1.017,9.964,0.656
2.796,2.796,0.843
3.387,3.387,0.804
2.364,2.364,0.777
0.342,6.515,0.6266666666666667
3.353,3.353,0.64
1.121,8.18,0.771
2.189,2.189,0.5946666666666667
2.99,2.99,0.64
2.74,2.757,0.664
1.498,3.263,0.6133333333333333
