true_utility,false_utility,complexity
2.255,5.97,0.858
3.813,3.819,0.6346666666666667
2.605,3.003,0.78
3.328,3.339,0.6293333333333333
3.389,3.389,0.762
0.686,10.238,0.616
1.688,1.84,0.6
1.402,8.386,0.858
1.376,7.511,0.765
2.821,5.163,0.6373333333333333
2.022,2.022,0.6106666666666667
4.036,4.036,0.6
3.158,5.578,0.855
2.479,2.479,0.6346666666666667
2.449,2.449,0.6133333333333333
3.364,3.364,0.867
3.088,3.248,0.6213333333333333
3.517,3.517,0.837
1.532,6.673,0.6693333333333333
2.456,2.691,0.768
3.241,3.241,0.6693333333333333
0.535,9.3,0.795
3.955,3.985,0.789
3.722,3.722,0.759
2.682,3.061,0.6
2.802,2.802,0.6346666666666667
3.645,3.645,0.828
3.24,3.24,0.825
3.491,3.491,0.804
2.813,2.813,0.774
2.509,2.53,0.6266666666666667
4.282,5.479,0.786
3.149,4.747,0.789
1.914,1.914,0.592
2.853,2.853,0.64
3.396,3.859,0.834
3.077,3.077,0.798
1.401,5.585,0.6293333333333333
3.331,3.458,0.858
2.709,2.709,0.672
3.176,3.237,0.786
4.754,4.863,0.831
2.983,3.053,0.6373333333333333
3.596,4.122,0.786
4.144,4.934,0.873
3.581,3.796,0.837
3.731,3.863,0.672
3.496,3.536,0.771
1.215,9.521,0.777
1.853,3.367,0.765
2.899,4.186,0.6533333333333333
4.097,4.097,0.759
3.965,3.965,0.5493333333333333
3.112,3.124,0.846
1.85,5.94,0.81
4.079,4.192,0.858
1.886,5.907,0.792
4.121,4.121,0.6133333333333333
3.411,4.98,0.834
3.921,3.921,0.816
2.168,3.849,0.6426666666666667
3.282,3.3,0.6586666666666666
2.597,3.755,0.813
1.577,5.256,0.6426666666666667
3.085,4.262,0.84
4.058,4.063,0.843
3.265,3.265,0.885
2.688,2.688,0.672
1.821,8.068,0.777
2.518,3.16,0.632
4.032,4.032,0.648
2.044,2.157,0.6533333333333333
3.114,3.208,0.87
2.761,2.761,0.6133333333333333
3.105,3.105,0.6426666666666667
1.629,1.662,0.5973333333333334
3.389,3.438,0.876
3.957,3.957,0.6266666666666667
3.466,3.766,0.81
3.562,3.562,0.822
3.169,3.169,0.813
3.374,3.374,0.6666666666666666
2.418,2.43,0.6346666666666667
1.539,7.81,0.795
3.075,3.075,0.6426666666666667
3.267,3.267,0.828
3.007,3.377,0.837
1.65,3.27,0.608
3.486,3.486,0.6266666666666667
3.193,4.064,0.759
2.073,3.547,0.584
4.005,4.561,0.807
4.339,4.339,0.6266666666666667
3.579,3.579,0.6346666666666667
3.824,4.807,0.6026666666666667
4.182,4.209,0.849
2.37,2.38,0.648
3.0,4.028,0.6293333333333333
3.895,3.895,0.6533333333333333
3.077,3.077,0.576
3.238,3.325,0.624
2.592,2.85,0.632
3.426,3.426,0.78
2.555,2.555,0.616
0.84,11.694,0.6426666666666667
3.686,4.445,0.897
2.548,5.943,0.608
2.995,2.995,0.608
3.756,5.201,0.876
4.024,4.26,0.87
1.254,7.311,0.64
2.778,3.956,0.774
2.57,2.57,0.5786666666666667
2.946,2.946,0.792
3.11,3.173,0.6693333333333333
2.803,2.814,0.584
3.373,3.384,0.822
3.394,3.394,0.64
3.327,3.354,0.6373333333333333
3.278,3.875,0.624
3.044,3.171,0.864
3.409,3.693,0.825
3.926,3.926,0.78
2.006,2.087,0.6293333333333333
2.507,2.507,0.849
2.898,2.898,0.6693333333333333
2.94,2.94,0.6026666666666667
2.61,2.61,0.624
2.492,2.838,0.6133333333333333
3.01,3.01,0.789
1.887,2.217,0.81
1.406,7.625,0.798
2.668,4.208,0.6266666666666667
3.363,3.363,0.816
0.539,11.489,0.807
1.989,1.999,0.6693333333333333
3.217,3.303,0.792
3.714,3.762,0.6586666666666666
3.924,3.924,0.786
3.755,3.906,0.78
2.45,3.436,0.786
2.48,2.81,0.807
2.977,3.149,0.759
1.986,7.785,0.768
4.0,4.185,0.771
3.742,3.811,0.762
3.575,3.575,0.774
3.157,3.168,0.6373333333333333
3.134,3.134,0.816
3.944,3.984,0.592
3.725,3.964,0.771
2.518,2.529,0.6266666666666667
1.167,8.085,0.624
2.58,2.603,0.6213333333333333
3.753,3.753,0.804
4.712,4.833,0.771
3.565,3.565,0.632
4.613,4.92,0.6586666666666666
4.056,4.804,0.81
2.975,5.276,0.831
3.034,3.034,0.762
3.181,3.181,0.6666666666666666
3.3,3.3,0.6213333333333333
2.275,2.434,0.807
2.364,2.364,0.6426666666666667
3.261,4.334,0.789
3.029,3.151,0.6693333333333333
3.278,3.497,0.855
3.675,3.844,0.648
3.697,3.697,0.5973333333333334
3.202,3.202,0.616
3.001,3.001,0.664
2.787,2.787,0.6613333333333333
3.124,4.521,0.912
2.366,4.362,0.804
2.348,4.641,0.846
1.236,7.187,0.819
1.876,5.004,0.6693333333333333
2.623,3.694,0.6613333333333333
4.197,4.224,0.6613333333333333
2.449,4.788,0.6506666666666666
1.275,7.637,0.6293333333333333
3.28,3.28,0.795
3.614,3.614,0.5866666666666667
2.764,2.854,0.816
3.211,3.211,0.78
2.977,4.819,0.768
3.342,3.35,0.789
2.448,2.801,0.6613333333333333
1.699,8.953,0.822
2.965,3.379,0.807
2.993,5.395,0.798
1.795,9.351,0.771
2.836,2.836,0.6106666666666667
3.653,3.898,0.6426666666666667
2.454,2.76,0.783
3.238,3.298,0.608
3.703,3.703,0.664
3.43,3.437,0.894
3.289,3.289,0.783
2.601,2.601,0.804
1.791,4.191,0.768
1.457,7.208,0.816
3.15,3.15,0.798
1.486,8.01,0.771
3.751,5.014,0.873
2.393,3.46,0.6346666666666667
3.44,3.689,0.765
2.862,2.862,0.6506666666666666
2.589,2.6,0.6453333333333333
2.047,2.25,0.6266666666666667
4.655,4.976,0.876
3.503,4.743,0.825
3.114,3.114,0.656
1.124,5.01,0.6346666666666667
1.701,8.964,0.783
3.06,3.137,0.873
4.245,5.966,0.843
2.994,3.098,0.5493333333333333
2.117,3.007,0.774
2.944,3.075,0.6026666666666667
1.777,3.883,0.6186666666666667
2.917,2.917,0.837
3.759,3.759,0.6266666666666667
2.872,4.307,0.664
3.35,3.68,0.828
2.997,2.997,0.792
2.807,3.081,0.798
3.465,3.465,0.6026666666666667
3.318,3.406,0.783
3.811,3.847,0.656
3.443,3.443,0.771
3.466,3.553,0.6586666666666666
4.477,4.524,0.759
1.911,6.269,0.6506666666666666
1.982,4.633,0.807
4.752,4.752,0.819
2.823,2.823,0.5946666666666667
3.102,3.102,0.5786666666666667
2.968,2.968,0.6666666666666666
2.308,2.308,0.6186666666666667
3.194,3.194,0.6586666666666666
2.934,5.105,0.795
3.061,3.758,0.765
2.231,2.579,0.804
3.285,3.285,0.804
2.994,3.218,0.6586666666666666
3.69,3.69,0.6533333333333333
4.039,4.151,0.813
2.521,2.916,0.777
2.278,2.515,0.6613333333333333
2.961,3.557,0.6506666666666666
1.349,9.558,0.792
3.818,4.16,0.6666666666666666
3.027,3.027,0.5813333333333334
2.332,2.332,0.6186666666666667
3.344,3.344,0.858
2.729,3.542,0.6613333333333333
3.578,3.578,0.765
3.559,3.988,0.6053333333333333
3.463,5.355,0.813
2.744,4.0,0.632
3.236,3.236,0.798
2.686,2.686,0.6453333333333333
3.4,4.158,0.6666666666666666
1.645,6.841,0.672
2.519,6.029,0.6346666666666667
2.919,2.951,0.81
4.047,4.108,0.813
1.099,7.653,0.81
3.813,4.586,0.81
1.063,9.158,0.789
2.162,2.162,0.5893333333333334
3.903,4.122,0.795
2.54,2.717,0.861
2.862,2.862,0.616
4.671,4.748,0.6186666666666667
2.964,3.832,0.5706666666666667
2.459,2.459,0.6346666666666667
1.642,3.679,0.6693333333333333
3.797,3.797,0.768
2.883,2.883,0.762
2.513,2.513,0.5866666666666667
1.922,3.928,0.6506666666666666
2.673,2.673,0.6373333333333333
2.364,2.375,0.5866666666666667
3.184,3.184,0.87
2.255,2.255,0.6
2.174,2.174,0.656
0.5,11.816,0.6293333333333333
3.953,4.131,0.774
2.733,2.733,0.584
2.76,2.76,0.616
2.985,2.985,0.855
2.985,3.32,0.798
3.21,3.284,0.789
3.848,3.848,0.6586666666666666
2.966,3.075,0.855
1.747,2.707,0.6506666666666666
2.689,2.722,0.78
2.504,2.504,0.762
0.432,11.543,0.6613333333333333
3.144,3.144,0.5626666666666666
2.502,2.557,0.6426666666666667
2.717,2.717,0.6533333333333333
3.711,4.366,0.888
3.199,3.244,0.6053333333333333
0.489,11.945,0.56
