true_utility,false_utility,complexity
2.64,3.066,0.6693333333333333
1.819,6.868,0.6533333333333333
1.251,5.057,0.6186666666666667
2.258,6.699,0.762
2.311,5.73,0.858
1.166,9.976,0.6106666666666667
2.913,2.913,0.78
3.05,3.05,0.867
2.172,4.703,0.798
2.91,2.91,0.765
2.944,2.944,0.801
3.084,3.267,0.765
3.148,3.148,0.6373333333333333
1.497,6.771,0.837
2.72,2.72,0.861
4.23,5.064,0.858
0.811,11.281,0.656
3.69,3.69,0.816
4.005,4.005,0.6293333333333333
1.265,7.854,0.656
2.142,4.097,0.632
2.045,2.045,0.6613333333333333
3.21,3.243,0.672
3.105,5.688,0.828
3.756,4.852,0.84
3.664,3.664,0.81
2.902,4.018,0.759
2.213,5.751,0.762
3.652,3.652,0.906
3.053,4.438,0.882
2.947,2.947,0.771
3.779,3.779,0.816
2.754,3.177,0.765
2.267,2.267,0.6586666666666666
2.394,2.394,0.804
3.465,3.465,0.861
3.544,3.544,0.765
3.407,3.417,0.608
3.683,3.753,0.816
2.629,2.986,0.672
2.775,7.67,0.897
3.951,3.995,0.6293333333333333
1.347,9.308,0.632
3.981,4.094,0.6693333333333333
2.895,2.895,0.81
0.754,7.922,0.656
3.464,3.464,0.882
3.464,3.552,0.798
2.392,4.106,0.6213333333333333
3.127,5.81,0.804
4.427,4.813,0.921
3.155,3.155,0.774
3.104,3.115,0.852
3.251,3.251,0.6133333333333333
3.98,4.35,0.816
4.108,4.108,0.804
0.545,9.823,0.6586666666666666
2.514,2.594,0.5733333333333334
3.577,3.599,0.6666666666666666
2.656,2.706,0.6346666666666667
3.522,3.776,0.656
3.749,3.749,0.855
2.789,2.789,0.656
4.278,4.327,0.864
2.407,2.603,0.656
3.426,4.498,0.843
4.375,4.721,0.804
4.06,4.647,0.825
3.771,4.493,0.762
2.573,5.261,0.6373333333333333
1.199,7.343,0.6586666666666666
3.401,3.401,0.828
4.153,4.222,0.792
4.103,4.22,0.87
3.273,3.547,0.807
2.824,3.153,0.6666666666666666
3.573,3.615,0.873
3.15,5.113,0.5973333333333334
1.197,7.675,0.6533333333333333
1.528,6.154,0.6613333333333333
2.578,2.587,0.6586666666666666
3.769,3.769,0.6373333333333333
2.048,5.116,0.864
4.289,4.591,0.888
1.333,6.269,0.81
1.969,7.946,0.816
1.08,7.061,0.632
2.12,6.704,0.837
3.509,3.509,0.849
3.663,3.663,0.6586666666666666
2.387,2.387,0.6453333333333333
4.711,5.336,0.813
2.479,2.479,0.624
3.542,3.542,0.861
3.295,3.713,0.87
2.992,4.387,0.861
3.241,3.241,0.56
1.748,2.79,0.664
1.706,5.14,0.656
4.172,4.178,0.87
1.284,10.011,0.656
1.146,9.617,0.6453333333333333
0.999,10.859,0.765
1.548,2.239,0.6533333333333333
2.858,4.546,0.783
3.591,3.591,0.813
2.501,4.736,0.828
0.898,8.809,0.64
1.061,7.308,0.6
4.024,4.446,0.6506666666666666
3.197,3.197,0.882
0.792,10.265,0.672
3.636,3.636,0.825
3.474,3.518,0.852
2.88,2.973,0.771
3.08,3.08,0.783
3.269,3.269,0.795
2.435,2.435,0.81
2.807,2.852,0.774
3.835,3.887,0.774
4.412,4.886,0.852
2.692,2.879,0.6293333333333333
2.322,3.944,0.6693333333333333
1.209,6.79,0.5653333333333334
3.736,3.808,0.6293333333333333
2.652,2.652,0.843
3.036,3.609,0.6666666666666666
2.896,2.896,0.6186666666666667
2.694,2.986,0.804
1.688,1.745,0.616
2.618,4.151,0.819
1.634,9.168,0.6453333333333333
2.11,2.11,0.6133333333333333
2.847,2.847,0.6373333333333333
3.804,3.959,0.6693333333333333
2.531,2.531,0.5733333333333334
0.936,10.637,0.6666666666666666
1.973,3.195,0.771
3.054,3.054,0.801
3.923,3.923,0.798
2.652,2.652,0.78
2.903,2.903,0.608
2.585,3.868,0.786
3.267,3.267,0.822
2.139,2.169,0.608
0.941,9.572,0.765
3.882,4.281,0.897
3.225,4.301,0.774
3.138,3.138,0.828
2.836,6.693,0.792
1.332,8.312,0.6373333333333333
2.776,2.818,0.774
1.174,5.769,0.6426666666666667
2.738,2.738,0.672
1.155,7.612,0.648
3.206,3.252,0.6266666666666667
3.847,3.847,0.64
2.94,2.94,0.81
2.223,8.629,0.6266666666666667
3.478,3.51,0.798
0.366,9.592,0.5626666666666666
0.902,5.229,0.584
1.828,1.852,0.6133333333333333
2.741,2.773,0.759
3.341,3.495,0.831
2.512,2.512,0.774
3.859,4.738,0.765
3.912,3.912,0.6346666666666667
3.153,3.233,0.64
2.279,2.279,0.786
4.11,4.302,0.834
3.781,3.781,0.783
3.61,3.61,0.885
3.41,3.421,0.78
2.291,5.605,0.819
3.323,3.366,0.672
4.188,4.188,0.78
3.254,3.254,0.798
2.696,2.696,0.846
3.38,3.38,0.664
3.907,3.97,0.6613333333333333
2.131,2.131,0.6
3.865,3.865,0.873
4.324,4.367,0.664
3.376,3.411,0.789
3.148,3.284,0.6373333333333333
3.042,5.917,0.6586666666666666
4.044,5.157,0.831
3.271,3.271,0.774
2.831,3.997,0.6506666666666666
2.208,2.208,0.6106666666666667
3.333,4.324,0.792
3.048,3.147,0.664
3.744,3.744,0.765
4.668,4.71,0.6533333333333333
3.475,3.475,0.831
1.443,7.837,0.798
3.627,3.627,0.813
3.883,4.333,0.912
1.711,6.248,0.64
2.991,2.991,0.789
3.518,3.738,0.84
3.32,3.411,0.6506666666666666
2.497,2.497,0.6186666666666667
2.607,2.607,0.6533333333333333
4.053,4.053,0.6186666666666667
3.086,3.086,0.801
4.016,4.204,0.765
2.855,2.855,0.64
3.58,4.512,0.795
2.802,2.802,0.807
4.002,4.106,0.843
1.933,6.367,0.825
3.797,3.797,0.6506666666666666
2.988,2.999,0.664
1.819,8.389,0.6373333333333333
0.681,10.667,0.777
3.461,3.499,0.783
2.31,2.31,0.664
2.873,2.894,0.6026666666666667
3.712,4.034,0.774
3.046,3.103,0.6613333333333333
3.978,3.978,0.882
2.736,3.316,0.906
2.986,2.997,0.762
0.95,11.276,0.6613333333333333
1.132,8.425,0.672
3.051,3.051,0.798
2.917,2.917,0.81
3.296,3.296,0.768
1.015,7.989,0.608
2.339,2.339,0.789
2.489,2.489,0.6693333333333333
1.025,9.272,0.6533333333333333
3.77,4.37,0.6053333333333333
0.886,9.394,0.816
2.815,3.169,0.798
2.397,2.397,0.5653333333333334
2.504,2.504,0.816
2.212,5.553,0.828
2.301,2.301,0.819
3.124,3.531,0.849
3.609,3.609,0.783
2.747,5.628,0.891
3.064,3.064,0.828
3.367,3.984,0.831
1.037,9.167,0.768
2.496,5.09,0.819
2.451,2.462,0.759
2.487,3.696,0.64
3.783,3.783,0.774
1.217,5.956,0.6586666666666666
0.458,10.156,0.5866666666666667
3.126,3.126,0.78
4.303,4.495,0.771
2.098,5.559,0.774
0.6,11.124,0.768
2.982,2.982,0.6506666666666666
3.48,3.775,0.656
3.753,4.847,0.6586666666666666
3.166,3.47,0.813
2.69,4.1,0.6693333333333333
3.023,3.023,0.6586666666666666
3.12,3.12,0.819
3.943,4.119,0.804
2.589,2.655,0.6346666666666667
3.165,3.712,0.855
2.888,3.052,0.798
3.918,3.939,0.783
1.8,5.738,0.828
2.894,3.05,0.816
3.156,3.156,0.664
3.357,3.357,0.78
2.655,2.746,0.6186666666666667
2.994,3.103,0.78
4.08,4.08,0.6346666666666667
3.724,4.089,0.672
3.098,3.098,0.804
2.675,4.783,0.768
3.649,3.732,0.858
4.531,5.049,0.84
2.757,2.757,0.64
1.648,8.111,0.6186666666666667
2.915,2.915,0.6106666666666667
3.596,3.596,0.84
3.553,3.553,0.6
2.5,2.5,0.807
2.491,2.534,0.822
1.173,10.485,0.84
3.314,3.314,0.6453333333333333
3.696,4.255,0.864
3.218,3.218,0.792
3.898,3.898,0.81
2.851,2.851,0.6426666666666667
2.657,2.657,0.807
2.768,2.809,0.813
2.804,2.804,0.6106666666666667
3.492,3.492,0.759
2.751,3.299,0.5733333333333334
4.353,5.674,0.771
2.05,2.05,0.6213333333333333
3.777,3.777,0.819
2.383,2.383,0.648
3.611,3.993,0.888
4.582,4.678,0.834
3.183,3.183,0.777
2.297,2.297,0.6053333333333333
2.359,3.264,0.5946666666666667
2.743,2.883,0.64
2.442,5.53,0.867
2.12,7.272,0.6346666666666667
3.202,3.202,0.801
2.406,2.59,0.608
0.99,6.134,0.786
2.425,2.425,0.664
2.955,3.285,0.664
3.902,4.001,0.6693333333333333
3.45,3.45,0.804
3.648,3.811,0.804
4.528,4.542,0.912
3.085,3.414,0.84
2.929,2.929,0.6506666666666666
3.183,3.424,0.762
2.093,2.327,0.6266666666666667
3.483,4.215,0.592
2.819,2.819,0.822
3.916,3.924,0.837
3.049,3.049,0.789
2.334,2.334,0.5893333333333334
3.545,3.576,0.771
0.602,11.836,0.664
1.068,6.32,0.6346666666666667
1.803,2.054,0.5893333333333334
1.77,1.782,0.801
3.138,3.138,0.804
2.77,2.803,0.6506666666666666
4.506,4.741,0.894
4.471,4.471,0.867
2.768,2.877,0.81
2.78,2.8,0.672
4.061,4.061,0.78
2.298,5.879,0.816
3.796,4.167,0.825
1.809,4.408,0.813
4.622,4.756,0.813
3.154,3.154,0.801
2.733,2.733,0.6293333333333333
1.368,8.113,0.6533333333333333
2.831,2.831,0.831
