true_utility,false_utility,complexity
3.789,5.462,0.64
3.157,3.166,0.813
2.684,2.684,0.831
3.444,3.444,0.792
3.626,3.626,0.6
4.136,4.193,0.834
1.763,8.183,0.873
3.06,3.205,0.624
3.761,3.761,0.6133333333333333
2.906,2.906,0.795
3.348,3.747,0.828
2.177,2.271,0.6266666666666667
2.447,2.878,0.837
2.607,2.607,0.5866666666666667
3.526,3.956,0.6533333333333333
3.547,3.547,0.6453333333333333
4.881,4.881,0.6293333333333333
2.693,6.03,0.664
1.599,6.061,0.783
1.207,4.714,0.632
3.982,4.026,0.804
3.511,3.511,0.846
4.978,5.014,0.777
2.934,2.934,0.777
3.595,4.326,0.813
4.185,4.185,0.664
3.457,4.035,0.6506666666666666
3.818,6.01,0.879
4.488,4.488,0.78
3.238,3.256,0.846
4.228,5.778,0.6586666666666666
1.872,6.7,0.798
2.844,2.844,0.774
1.883,1.938,0.6186666666666667
3.004,3.004,0.608
0.459,10.95,0.5893333333333334
2.462,3.29,0.656
2.536,3.407,0.6373333333333333
2.973,2.973,0.783
2.932,4.702,0.837
3.329,4.65,0.6693333333333333
1.533,8.574,0.656
2.036,7.89,0.6586666666666666
3.417,3.45,0.6533333333333333
1.33,7.112,0.777
2.702,2.98,0.837
3.337,4.612,0.819
2.562,3.829,0.672
3.618,3.634,0.768
4.254,4.263,0.6533333333333333
3.568,3.568,0.819
3.092,3.092,0.855
2.588,2.588,0.825
3.124,3.124,0.813
2.398,2.881,0.6106666666666667
2.503,3.211,0.855
2.561,2.561,0.798
4.487,5.29,0.831
3.35,3.449,0.849
3.572,3.572,0.831
1.607,8.317,0.78
3.42,3.42,0.771
5.245,5.411,0.837
2.992,4.016,0.762
3.785,3.785,0.774
2.057,5.622,0.849
2.585,2.585,0.6426666666666667
0.722,7.586,0.6453333333333333
3.525,3.525,0.5973333333333334
3.193,3.213,0.78
3.853,4.835,0.852
3.894,4.256,0.903
3.788,3.95,0.831
2.889,2.889,0.783
2.874,2.874,0.5946666666666667
3.753,3.762,0.828
3.361,3.885,0.759
2.955,2.955,0.873
1.621,7.249,0.6586666666666666
2.062,4.598,0.6533333333333333
3.47,3.647,0.813
3.424,3.449,0.768
4.282,4.599,0.864
2.121,2.617,0.828
2.931,3.479,0.771
2.503,4.889,0.819
1.438,6.285,0.774
3.451,3.484,0.828
3.802,4.67,0.632
4.161,4.161,0.876
1.849,9.732,0.813
2.724,5.969,0.6693333333333333
3.899,6.32,0.648
3.341,3.418,0.819
1.172,8.17,0.6453333333333333
3.766,4.195,0.789
2.785,2.785,0.762
3.218,4.962,0.816
3.866,4.133,0.759
1.955,7.139,0.656
2.95,4.926,0.918
4.449,4.449,0.852
