true_utility,false_utility,complexity
4.8,5.027,1
4.817,5.748,1
5.054,5.304,1
4.681,5.283,1
4.793,5.219,1
4.994,5.571,1
4.595,5.276,1
4.939,5.665,1
4.634,4.905,1
4.824,5.063,1
5.18,5.475,1
5.281,5.691,1
5.201,5.7,1
4.796,4.858,1
5.331,5.808,1
4.76,5.01,1
5.614,5.698,1
4.971,5.06,1
5.017,5.341,1
4.81,5.498,1
5.272,5.546,1
5.413,5.735,1
5.049,5.275,1
4.73,5.564,1
4.865,5.127,1
5.257,5.726,1
4.867,4.943,1
4.583,5.634,1
5.088,5.571,1
4.342,5.504,1
5.215,5.566,1
4.774,5.597,1
4.968,5.413,1
4.896,5.282,1
5.032,5.362,1
4.537,4.956,1
5.08,5.821,1
5.202,5.699,1
4.754,5.425,1
5.582,5.999,1
4.298,5.067,1
4.73,5.295,1
5.056,5.092,1
5.24,5.425,1
4.731,5.556,1
4.891,5.034,1
5.296,5.565,1
5.161,5.572,1
5.1,5.362,1
4.655,4.745,1
5.21,5.546,1
4.941,5.452,1
5.167,5.501,1
4.768,5.421,1
5.547,5.688,1
5.403,5.614,1
4.983,5.275,1
5.044,5.245,1
4.91,5.996,1
5.006,5.436,1
5.601,5.65,1
4.62,5.193,1
4.727,5.174,1
5.56,5.599,1
4.972,5.898,1
4.901,5.749,1
5.196,6.176,1
4.978,5.247,1
4.238,5.183,1
4.707,5.133,1
5.178,5.405,1
5.019,5.236,1
5.451,5.56,1
5.268,5.561,1
4.672,4.782,1
4.017,5.338,1
4.368,5.434,1
5.006,5.256,1
4.478,5.111,1
5.061,5.767,1
4.766,5.412,1
5.708,5.996,1
4.913,5.341,1
4.949,5.184,1
4.858,5.114,1
4.731,5.41,1
4.743,5.25,1
4.718,5.019,1
4.39,5.118,1
5.446,5.799,1
4.066,4.705,1
4.706,5.4,1
5.139,5.49,1
5.095,5.598,1
4.75,5.411,1
4.858,5.474,1
5.069,5.069,1
5.255,5.697,1
5.473,5.687,1
5.491,6.134,1
5.702,5.757,1
5.157,5.536,1
4.819,4.861,1
5.194,5.43,1
5.376,5.488,1
5.032,5.762,1
5.069,5.148,1
5.243,5.292,1
5.462,5.778,1
4.901,5.356,1
5.036,5.249,1
5.324,5.58,1
4.562,5.476,1
4.604,5.077,1
5.223,5.709,1
5.374,5.517,1
4.924,5.13,1
4.995,5.25,1
5.566,5.626,1
4.146,5.179,1
5.188,5.318,1
5.716,6.284,1
5.196,5.392,1
5.439,5.554,1
5.301,5.538,1
5.128,6.001,1
5.181,5.825,1
5.091,5.924,1
4.911,5.227,1
4.82,5.141,1
5.002,5.511,1
5.101,5.226,1
4.219,5.044,1
4.919,5.349,1
4.596,5.671,1
4.688,5.615,1
5.317,5.569,1
5.225,5.321,1
4.8,5.271,1
4.306,5.054,1
4.86,5.836,1
5.148,5.788,1
4.637,5.358,1
5.252,5.677,1
5.193,5.565,1
4.433,5.655,1
5.525,5.792,1
5.45,5.877,1
4.679,5.319,1
5.41,5.643,1
5.45,5.819,1
5.003,5.635,1
4.763,5.749,1
4.532,5.089,1
4.76,4.924,1
5.082,5.361,1
5.194,5.371,1
4.422,4.712,1
4.152,4.701,1
4.789,5.297,1
5.346,5.439,1
4.871,5.015,1
5.021,5.488,1
5.271,5.629,1
4.881,5.075,1
5.349,5.437,1
4.701,5.464,1
4.706,4.847,1
4.715,4.797,1
5.302,5.389,1
4.552,5.248,1
5.298,5.46,1
4.792,5.553,1
4.783,5.449,1
4.799,5.136,1
5.111,5.271,1
4.873,5.498,1
5.059,5.303,1
4.634,5.134,1
4.985,5.589,1
5.16,5.351,1
5.03,5.549,1
4.453,5.025,1
4.888,5.367,1
5.279,5.892,1
4.909,5.236,1
4.875,5.363,1
4.932,5.68,1
5.075,5.278,1
4.885,5.432,1
5.098,5.686,1
4.677,4.993,1
4.891,5.136,1
4.822,5.097,1
4.458,4.815,1
5.025,5.087,1
4.999,5.307,1
4.789,5.201,1
4.426,5.254,1
5.011,5.122,1
4.539,5.672,1
5.511,5.683,1
5.775,5.858,1
4.587,5.076,1
4.897,5.35,1
5.021,5.39,1
5.415,5.556,1
4.768,5.264,1
4.842,5.294,1
5.187,5.658,1
5.38,5.429,1
5.06,5.296,1
5.046,5.273,1
4.809,5.028,1
4.948,5.757,1
5.375,5.427,1
5.008,5.078,1
5.026,5.4,1
5.365,5.873,1
4.971,5.29,1
5.139,5.425,1
5.407,5.803,1
4.6,5.225,1
4.982,5.22,1
4.918,5.137,1
4.955,5.43,1
4.976,6.019,1
4.809,5.196,1
5.236,5.42,1
5.261,5.372,1
5.153,5.476,1
4.938,5.391,1
5.162,5.446,1
4.549,5.254,1
4.796,4.98,1
5.084,5.866,1
5.248,5.316,1
5.204,5.577,1
4.861,4.993,1
5.122,5.727,1
5.349,5.723,1
4.952,5.222,1
5.229,5.681,1
4.426,5.078,1
4.763,5.26,1
4.538,5.121,1
5.175,5.416,1
4.866,6.115,1
5.267,5.676,1
4.895,5.639,1
4.486,4.956,1
4.788,5.147,1
4.849,5.145,1
5.157,5.489,1
5.224,5.352,1
4.358,4.802,1
5.011,5.29,1
5.247,5.673,1
4.692,4.865,1
4.504,5.064,1
5.538,5.556,1
4.696,4.876,1
5.014,5.15,1
4.906,5.163,1
5.259,5.628,1
5.452,6.127,1
5.106,5.273,1
4.93,4.939,1
5.025,5.424,1
4.961,5.337,1
5.641,5.766,1
4.966,5.37,1
5.073,5.48,1
5.333,5.585,1
4.726,4.963,1
4.43,5.202,1
5.105,5.466,1
5.356,5.971,1
5.378,5.476,1
4.83,5.204,1
4.305,4.767,1
4.772,5.428,1
4.669,5.469,1
5.31,5.377,1
5.144,5.468,1
4.979,5.188,1
4.456,5.156,1
5.197,5.755,1
4.901,5.375,1
5.274,5.473,1
5.091,5.294,1
5.16,5.188,1
4.674,5.071,1
5.064,5.528,1
4.993,5.047,1
5.123,5.732,1
4.67,5.504,1
4.924,5.406,1
4.546,5.475,1
5.198,5.877,1
4.798,5.122,1
5.374,5.667,1
5.412,5.57,1
5.082,5.265,1
4.947,5.335,1
5.66,5.938,1
4.898,5.432,1
4.751,5.215,1
5.035,5.138,1
5.253,5.564,1
4.409,5.253,1
4.769,4.949,1
4.593,5.148,1
4.403,4.784,1
5.004,5.65,1
4.945,5.402,1
4.722,5.145,1
5.254,5.525,1
5.599,5.613,1
4.923,5.464,1
4.99,5.231,1
4.73,4.895,1
4.731,5.058,1
4.991,5.116,1
4.71,5.576,1
4.91,5.206,1
5.317,5.71,1
5.147,5.637,1
5.51,5.609,1
4.696,4.846,1
4.424,5.734,1
4.55,5.165,1
4.581,5.032,1
5.397,5.436,1
4.868,5.376,1
4.474,4.889,1
5.12,5.247,1
4.778,4.859,1
4.818,5.154,1
5.526,5.811,1
4.697,5.089,1
5.361,5.796,1
4.55,4.825,1
5.205,5.254,1
5.26,5.346,1
5.047,5.065,1
5.255,5.666,1
5.205,5.542,1
5.383,5.452,1
5.689,5.981,1
4.419,4.924,1
5.582,5.582,1
4.802,5.032,1
5.279,5.37,1
4.601,4.858,1
4.692,5.142,1
4.843,5.073,1
4.786,5.142,1
5.194,5.715,1
5.468,5.821,1
5.002,5.715,1
5.169,5.283,1
5.425,5.694,1
4.997,5.184,1
5.335,5.76,1
5.335,5.77,1
5.073,5.409,1
5.312,5.625,1
4.722,4.93,1
5.327,5.396,1
4.149,5.167,1
4.535,5.021,1
5.2,5.379,1
4.791,5.564,1
5.503,5.788,1
5.005,5.566,1
5.095,5.593,1
5.04,5.048,1
5.561,5.621,1
4.55,5.215,1
4.459,5.473,1
4.874,5.265,1
5.442,5.485,1
4.987,5.144,1
5.025,5.456,1
5.463,5.642,1
4.968,5.673,1
4.355,5.025,1
5.007,5.311,1
4.752,5.093,1
5.034,5.734,1
4.707,5.23,1
5.134,5.457,1
5.19,5.329,1
5.264,5.392,1
5.027,5.756,1
5.452,5.632,1
5.318,5.55,1
5.245,5.6,1
5.383,5.457,1
4.829,4.849,1
5.635,5.759,1
4.36,5.206,1
5.168,5.672,1
5.45,5.553,1
5.691,6.312,1
4.843,5.359,1
4.898,5.446,1
4.863,5.622,1
5.103,5.283,1
4.34,5.414,1
4.508,5.267,1
4.667,5.149,1
4.458,4.628,1
5.159,5.445,1
4.886,5.258,1
5.318,5.836,1
4.857,5.09,1
4.414,4.803,1
5.822,6.167,1
5.1,5.134,1
5.516,5.516,1
4.873,5.313,1
4.758,4.939,1
4.456,4.705,1
4.964,5.298,1
5.413,5.554,1
5.043,5.292,1
5.057,5.663,1
4.536,5.158,1
5.381,5.408,1
4.732,5.151,1
5.244,5.678,1
4.595,4.867,1
5.404,5.847,1
4.233,5.387,1
4.423,4.778,1
4.662,5.036,1
4.948,5.29,1
5.368,5.639,1
5.448,5.64,1
5.196,5.666,1
4.847,4.922,1
4.331,5.143,1
5.269,5.406,1
4.151,5.014,1
4.912,5.045,1
4.832,5.205,1
4.935,5.049,1
4.92,5.455,1
5.265,5.659,1
5.545,5.98,1
5.486,5.733,1
5.07,5.158,1
5.41,5.818,1
4.709,4.709,1
4.999,5.424,1
4.937,5.205,1
5.109,5.487,1
5.453,5.567,1
4.586,5.588,1
4.549,5.05,1
5.114,5.25,1
4.727,5.344,1
4.957,5.397,1
4.159,5.134,1
4.793,5.581,1
4.487,5.375,1
4.367,5.002,1
4.609,4.719,1
4.927,5.299,1
4.852,5.734,1
4.87,5.235,1
5.242,5.681,1
4.837,5.078,1
5.078,5.426,1
5.368,5.703,1
4.664,5.193,1
4.687,4.833,1
4.945,5.689,1
5.477,5.727,1
5.123,5.217,1
4.912,5.175,1
4.829,5.158,1
5.592,5.843,1
5.312,5.312,1
5.47,5.533,1
4.922,5.205,1
4.689,5.299,1
5.225,5.658,1
5.448,5.685,1
5.162,6.109,1
4.817,4.889,1
4.914,5.31,1
4.622,4.897,1
4.622,5.294,1
4.84,4.96,1
5.078,5.304,1
5.027,5.41,1
5.088,5.438,1
5.354,5.637,1
5.232,5.323,1
4.712,5.223,1
4.75,5.409,1
5.038,5.492,1
5.281,5.397,1
4.625,4.821,1
5.328,5.635,1
4.347,4.924,1
5.501,5.67,1
5.105,5.328,1
5.372,5.529,1
4.825,5.184,1
5.222,5.614,1
5.148,5.263,1
5.661,5.796,1
4.978,5.254,1
4.694,5.306,1
5.367,5.464,1
5.583,5.801,1
5.23,5.901,1
4.524,5.111,1
4.624,5.034,1
5.181,5.531,1
5.041,5.645,1
5.023,5.392,1
5.242,5.775,1
5.215,5.889,1
5.142,5.435,1
4.816,5.424,1
4.871,5.472,1
5.563,5.838,1
4.665,4.787,1
5.105,5.324,1
5.654,5.98,1
5.601,5.894,1
5.174,5.378,1
5.118,5.36,1
5.112,5.38,1
4.848,5.679,1
5.253,5.628,1
5.225,5.623,1
5.137,5.419,1
4.985,5.29,1
5.513,5.809,1
5.284,5.699,1
5.099,5.229,1
5.316,5.454,1
5.037,5.305,1
5.03,5.334,1
5.014,5.243,1
5.21,5.6,1
5.133,5.413,1
5.649,5.913,1
5.18,5.308,1
5.105,5.775,1
5.254,5.52,1
5.069,5.212,1
5.016,5.299,1
4.595,5.471,1
5.116,5.553,1
4.855,5.132,1
5.484,5.593,1
5.403,5.934,1
4.177,4.896,1
5.442,5.705,1
4.934,5.344,1
5.087,5.139,1
5.287,5.477,1
4.397,5.463,1
5.125,5.392,1
4.398,5.383,1
4.924,5.595,1
4.822,5.301,1
5.319,5.713,1
4.839,4.927,1
4.747,5.041,1
4.982,5.632,1
5.177,5.768,1
5.152,5.59,1
5.362,5.63,1
5.249,5.544,1
4.866,4.892,1
4.657,4.789,1
5.044,5.044,1
4.815,5.151,1
4.845,5.243,1
5.047,5.549,1
5.149,5.491,1
4.84,5.081,1
4.648,4.716,1
5.252,5.489,1
4.93,5.388,1
5.244,5.477,1
5.519,5.905,1
4.941,5.166,1
5.359,5.662,1
4.943,5.103,1
5.184,5.618,1
5.488,5.666,1
5.268,5.475,1
4.371,5.067,1
4.972,5.541,1
4.772,4.923,1
5.446,5.698,1
5.524,5.691,1
5.558,6.017,1
4.352,5.457,1
4.41,5.391,1
4.516,4.874,1
5.314,5.929,1
5.494,5.553,1
5.276,5.649,1
4.515,5.295,1
4.185,5.189,1
5.399,5.787,1
5.012,5.504,1
5.066,5.411,1
4.776,5.058,1
5.269,6.0,1
4.988,5.158,1
5.518,5.564,1
5.053,5.277,1
5.261,5.6,1
4.665,4.937,1
4.732,4.772,1
4.309,4.781,1
5.183,6.047,1
5.359,5.674,1
4.941,5.606,1
4.841,4.905,1
4.694,5.251,1
5.484,5.604,1
5.163,5.2,1
5.017,5.418,1
5.358,5.524,1
5.288,5.434,1
5.033,5.501,1
5.012,5.392,1
4.635,5.858,1
4.346,5.476,1
4.819,5.158,1
4.563,5.472,1
4.592,5.122,1
4.474,5.199,1
4.39,5.406,1
4.862,5.461,1
4.977,5.234,1
5.549,5.599,1
4.92,5.282,1
5.304,5.883,1
5.259,5.576,1
5.004,5.509,1
4.873,4.99,1
5.269,6.105,1
5.198,5.819,1
4.603,4.714,1
4.547,5.457,1
4.619,4.8,1
5.102,5.427,1
5.601,5.622,1
4.681,5.219,1
5.165,5.672,1
4.629,5.328,1
4.889,4.939,1
5.384,5.772,1
4.741,5.261,1
5.088,5.623,1
4.72,5.252,1
4.736,5.238,1
4.687,5.315,1
5.477,5.76,1
4.764,5.09,1
5.214,5.492,1
5.458,5.768,1
5.686,5.726,1
5.492,5.618,1
5.073,5.533,1
5.161,5.475,1
5.296,5.478,1
5.39,5.697,1
4.758,5.015,1
4.989,5.021,1
5.236,5.302,1
4.477,5.618,1
5.184,5.423,1
5.489,5.522,1
5.544,5.846,1
4.74,4.811,1
4.925,5.595,1
4.745,5.435,1
5.123,5.555,1
4.484,4.856,1
5.043,5.466,1
4.746,5.221,1
4.751,5.023,1
5.19,5.652,1
5.311,5.592,1
4.587,4.847,1
4.481,5.0,1
5.456,5.532,1
5.125,5.425,1
4.83,5.133,1
4.96,5.419,1
4.821,5.039,1
5.141,5.661,1
4.856,5.313,1
4.995,5.111,1
4.739,5.492,1
4.909,4.955,1
5.475,5.667,1
5.397,5.472,1
5.472,5.733,1
4.182,4.926,1
5.039,5.165,1
4.62,5.319,1
4.81,5.308,1
5.337,5.574,1
4.576,5.139,1
4.813,5.002,1
5.57,5.691,1
5.042,5.313,1
5.239,5.553,1
4.93,4.965,1
5.529,5.736,1
5.224,5.277,1
4.975,5.127,1
5.271,5.894,1
4.777,5.444,1
5.679,5.798,1
4.809,5.374,1
5.346,5.482,1
5.146,5.508,1
5.312,5.469,1
4.982,5.543,1
4.231,5.186,1
5.222,5.392,1
4.443,5.4,1
5.163,5.399,1
4.79,5.466,1
4.959,5.032,1
4.826,5.117,1
4.82,5.499,1
4.705,5.487,1
5.105,5.292,1
4.372,4.925,1
4.827,5.634,1
4.605,4.966,1
5.321,5.46,1
4.587,4.879,1
5.345,5.759,1
5.254,5.609,1
5.275,5.396,1
4.445,5.007,1
5.39,5.684,1
4.911,5.27,1
5.158,5.671,1
5.024,5.341,1
4.826,5.61,1
5.482,6.311,1
4.882,5.223,1
5.11,5.255,1
4.856,5.308,1
5.013,5.755,1
5.987,6.132,1
5.169,5.454,1
4.106,4.874,1
5.543,5.828,1
4.832,5.165,1
5.47,5.727,1
5.216,5.643,1
4.851,5.448,1
5.234,5.871,1
4.8,4.942,1
4.514,5.207,1
4.892,5.438,1
4.57,5.712,1
5.088,5.332,1
5.643,5.783,1
5.596,6.069,1
5.079,5.355,1
4.615,5.477,1
5.302,5.394,1
5.28,5.83,1
5.136,5.336,1
4.717,5.085,1
5.089,5.47,1
5.031,5.371,1
4.606,5.168,1
5.158,5.494,1
5.019,5.119,1
4.772,5.58,1
5.007,5.281,1
5.424,5.777,1
4.913,5.259,1
5.179,5.239,1
5.011,5.592,1
5.092,5.45,1
4.949,5.417,1
5.242,5.747,1
4.961,5.249,1
4.918,5.455,1
5.38,5.568,1
4.566,5.045,1
4.561,4.848,1
4.71,4.838,1
4.494,5.165,1
4.973,5.481,1
4.881,5.24,1
4.913,5.281,1
4.822,5.449,1
4.937,5.044,1
4.801,4.95,1
4.762,4.972,1
5.103,5.356,1
5.104,5.222,1
4.981,5.125,1
4.217,4.837,1
5.331,5.454,1
5.091,5.325,1
5.045,5.263,1
4.81,4.954,1
4.908,5.01,1
5.466,5.671,1
5.41,5.906,1
5.292,5.507,1
5.413,5.922,1
5.25,5.331,1
4.949,5.646,1
5.297,5.297,1
4.83,5.597,1
5.184,5.643,1
4.692,5.276,1
4.8,5.084,1
4.212,5.878,1
4.956,5.155,1
5.52,5.786,1
5.079,5.784,1
5.397,5.664,1
5.125,5.444,1
4.757,4.875,1
4.999,5.131,1
5.776,5.792,1
5.346,5.455,1
5.284,5.361,1
4.988,5.254,1
4.863,5.236,1
5.077,5.301,1
4.942,5.203,1
5.017,5.414,1
4.983,5.506,1
5.111,5.462,1
5.434,6.061,1
4.072,5.084,1
5.113,5.786,1
4.346,5.434,1
5.341,5.555,1
4.385,5.011,1
5.113,5.645,1
5.442,5.442,1
4.854,5.316,1
4.4,5.163,1
5.223,5.456,1
4.404,5.583,1
5.049,5.073,1
