,misspecified_reward_value,kl_divergence_penalty,gamma,t_inv,q_cap,category,reward,utility,error
0,20,,0.9,0.0,,totally_random,539.644241809845,519.6483507156372,
1,20,,0.99,0.0038461538461538464,,boltzmann_sampling,556.5344681739807,530.1298241615295,
2,20,1.0,0.99,0.0038461538461538464,,soft_q_learning,556.2389903068542,530.3599762916565,
3,20,,0.99,0.007692307692307693,,boltzmann_sampling,577.3581385612488,538.5823822021484,
4,20,1.0,0.99,0.007692307692307693,,soft_q_learning,574.9439759254456,540.2706871032715,
5,20,,0.99,0.015384615384615385,,boltzmann_sampling,689.8084816932678,512.7827749252319,
6,20,1.0,0.99,0.015384615384615385,,soft_q_learning,626.382908821106,553.9619631767273,
7,20,,0.99,0.023076923076923075,,boltzmann_sampling,909.768584728241,430.54864597320557,
8,20,1.0,0.99,0.023076923076923075,,soft_q_learning,745.4907870292664,538.7881956100464,
9,20,,0.99,0.038461538461538464,,boltzmann_sampling,1218.3847012519836,357.4530328512192,
10,20,1.0,0.99,0.038461538461538464,,soft_q_learning,1311.6727952957153,373.1852340698242,
11,20,,0.99,0.04615384615384615,,boltzmann_sampling,1320.5290656089783,341.64264422655106,
12,20,1.0,0.99,0.04615384615384615,,soft_q_learning,1453.6091756820679,341.794917345047,
13,20,,0.99,0.05384615384615384,,boltzmann_sampling,1401.9534516334534,331.0481061935425,
14,20,1.0,0.99,0.05384615384615384,,soft_q_learning,1544.6846146583557,326.9229053258896,
15,20,,0.99,0.06153846153846154,,boltzmann_sampling,1468.672115802765,323.5094966888428,
16,20,1.0,0.99,0.06153846153846154,,soft_q_learning,1610.2555575370789,318.7498428821564,
17,20,,0.99,0.06923076923076923,,boltzmann_sampling,1524.5738372802734,317.949057161808,
18,20,1.0,0.99,0.06923076923076923,,soft_q_learning,1660.602526664734,313.819835960865,
19,20,,0.99,0.07692307692307693,,boltzmann_sampling,1572.2560467720032,313.762682557106,
20,20,1.0,0.99,0.07692307692307693,,soft_q_learning,1700.8111462593079,310.6751690506935,
21,20,,0.99,0.11538461538461539,,boltzmann_sampling,1734.7014379501343,303.90443724393845,
22,20,1.0,0.99,0.11538461538461539,,soft_q_learning,1821.5487985610962,305.1582702100277,
23,20,,0.99,0.15384615384615385,,boltzmann_sampling,1825.641944885254,302.24377435445786,
24,20,1.0,0.99,0.15384615384615385,,soft_q_learning,1878.964454650879,304.5353981554508,
25,20,,0.99,0.23076923076923078,,boltzmann_sampling,1906.5265035629272,305.70137774944305,
26,20,1.0,0.99,0.23076923076923078,,soft_q_learning,1924.0732717514038,305.8434316813946,
27,20,,0.99,0.38461538461538464,6.0,q_cap_t_inv_0.38461538461538464,631.4134063720703,537.3120365142822,
28,20,1.0,0.99,0.38461538461538464,6.0,q_cap_soft_t_inv_0.38461538461538464,639.630214214325,610.3530550003052,
